Date,S&P500,Dividend,Earnings,CPI,Long.Interest.Rate,Real.Price,Real.Dividend,Real.Total.Return.Price,Real.Earnings,Real.TR.Scaled.Earnings,Cyclically.Adjusted.PE,Total.Return.Cyclically.Adjusted.PE,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,VIX.Open,VIX.High,VIX.Low,VIX.Close,VIX.Adjusted
1990.01,339.97,11.14,22.49,127.4,8.21,691.23,22.65,230828.76,45.73,15269.99,17.05,20.41,7503.76001,7540.430023,7418.240082,7479.380006,3793250000,7479.380006,513.640002,513.640002,513.640002,513.640002,513.640002
1990.02,330.45,11.23,22.08,128,8.47,668.73,22.73,223945.7,44.68,14963.6,16.51,19.74,6275.790041,6311.820035,6239.160094,6278.600067,2961970000,6278.600067,441.990005,441.990005,441.990005,441.990005,441.990005
1990.03,338.46,11.32,21.67,128.7,8.59,681.21,22.78,228762.32,43.61,14646.57,16.83,20.1,7438.030029,7475.459963,7404.039946,7446.23001,3283280000,7446.23001,441.369996,441.369996,441.369996,441.369996,441.369996
1990.04,338.18,11.44,21.53,128.9,8.79,679.59,22.98,228861.59,43.27,14572.55,16.81,20.06,6772.699979,6800.959992,6733.239989,6763.559965,2801220000,6763.559965,428.070001,428.070001,428.070001,428.070001,428.070001
1990.05,350.25,11.55,21.4,129.2,8.76,702.21,23.16,237129.56,42.9,14486.2,17.39,20.72,7675.079989,7727.580019,7655.449979,7705.500032,3596680000,7705.500032,398.149999,398.149999,398.149999,398.149999,398.149999
1990.06,360.39,11.66,21.26,129.9,8.48,718.65,23.25,243334.11,42.39,14354.68,17.82,21.21,7572.390077,7611.140046,7528.990022,7568.119997,3226280000,7568.119997,353.269996,353.269996,353.269996,353.269996,353.269996
1990.07,360.03,11.73,21.42,130.4,8.47,715.18,23.29,242816.23,42.55,14446.36,17.75,21.1,7562.529998,7596.029938,7509.130005,7560.649994,3373540000,7560.649994,386.250003,386.250003,386.250003,386.250003,386.250003
1990.08,330.75,11.78,21.58,131.6,8.75,651.02,23.19,221690.98,42.48,14464.37,16.17,19.21,7640.599915,7690.729949,7541.679993,7607.169953,4020730000,7607.169953,648.029995,648.029995,648.029995,648.029995,648.029995
1990.09,315.41,11.83,21.74,132.7,8.89,615.68,23.09,210311.92,42.44,14495.99,15.3,18.17,6010.130006,6034.989961,5941.669952,5992.730012,2687280000,5992.730012,553.039999,553.039999,553.039999,553.039999,553.039999
1990.1,307.12,11.93,21.61,133.5,8.72,595.91,23.14,204215.81,41.92,14367.12,14.82,17.59,7065.95004,7131.730011,6998.570005,7063.870054,3671900000,7063.870054,681.390008,681.390008,681.390008,681.390008,681.390008
